cliente_edad,cliente_genero,cliente_estado_civil,numero_hijos_o_dependientes,nivel_educativo,ocupacion_profesion,ingresos_estimados_rango,monto_reserva,metodo_pago,fecha_reserva,tiempo_reserva,lote_ubicacion,fecha_limite,lote_precio,lote_id,manzana,asesor,numero_visitas_proyecto_antes,numero_visitas_proyecto_despues,canal_contacto,tiempo_promedio_decision_antes_compra_dias,nivel_respuesta,promesa_regalo,cerca_avenidas,cerca_colegios,cerca_parques,estado_final,compra_final
39,F,soltero,4,universitario,Profesor,3000-5000,300,tarjeta,2025-08-25,48,"Cuesta de Victorino Berrocal, Girona",2025-10-12,161954,Residencial SolG34,G,Pedro Sánchez,0,1,Facebook,45,rapido,sí,1,1,0,transferido,0
47,F,conviviente,3,universitario,Doctor,<1500,300,transferencia,2025-12-17,7,"Urbanización de Adrián Mármol, Lleida",2025-12-24,60718,Residencial SolB18,B,Luis Pérez,0,1,Facebook,3,tardio,sí,0,1,0,transferido,1
42,M,conviviente,2,universitario,Profesor,3000-5000,300,yape,2025-06-12,28,"Cuesta Amado Navarro, Asturias",2025-07-10,145310,Villa Los OlivosF14,F,Juan Rojas,2,2,Página Web,32,rapido,no,0,1,0,transferido,0
46,F,soltero,1,universitario,Contador,>5000,100,tarjeta,2025-04-20,45,"Via Celestino Belmonte, Santa Cruz de Tenerife",2025-06-04,188638,Jardines del ValleB43,B,Pedro Sánchez,0,2,Página Web,9,tardio,no,1,1,0,transferido,0
30,M,soltero,4,tecnico,Doctor,3000-5000,500,yape,2025-09-28,9,"Paseo Daniel Romeu, Pontevedra",2025-10-07,81550,Jardines del ValleE14,E,Pedro Sánchez,1,3,WhatsApp,6,rapido,sí,1,0,1,transferido,0
44,F,soltero,3,tecnico,Arquitecto,<1500,100,transferencia,2025-05-11,15,"Avenida de Eutropio Peláez, Toledo",2025-05-26,61484,Jardines del ValleH7,H,Luis Pérez,0,0,Evento,45,sin_respuesta,sí,1,0,1,transferido,0
48,F,conviviente,3,secundaria,Contador,1500-3000,300,transferencia,2025-05-27,37,"Cañada de Mateo Madrigal, Girona",2025-07-03,67749,Residencial SolI46,I,Juan Rojas,1,2,Facebook,36,sin_respuesta,no,0,0,1,reservado,1
33,F,soltero,2,postgrado,Ingeniero,1500-3000,200,transferencia,2025-02-02,38,"Paseo de Isabela Catalán, La Rioja",2025-03-12,154200,Villa Los OlivosI2,I,Luis Pérez,0,1,Facebook,5,rapido,sí,1,1,1,transferido,0
60,F,casado,1,secundaria,Profesor,3000-5000,500,yape,2025-07-21,7,"Urbanización Román Robledo, Segovia",2025-07-28,98251,Jardines del ValleH49,H,Luis Pérez,1,2,Página Web,2,tardio,sí,0,0,1,transferido,0
57,F,soltero,0,secundaria,Abogado,1500-3000,100,yape,2025-07-24,42,"Callejón de Heraclio Gallart, Teruel",2025-09-04,120389,Villa Los OlivosD38,D,María Gómez,1,1,Instagram,35,tardio,sí,1,0,0,transferido,0
43,M,soltero,0,tecnico,Contador,1500-3000,500,tarjeta,2025-08-07,57,"Vial Anselmo Gallo, Cantabria",2025-10-03,120892,Jardines del ValleD3,D,Luis Pérez,0,1,Página Web,29,rapido,sí,1,0,0,transferido,0
25,F,soltero,3,postgrado,Contador,>5000,500,efectivo,2025-01-27,52,"Glorieta de Toño Vergara, Soria",2025-03-20,71822,Villa Los OlivosD14,D,María Gómez,2,0,Página Web,13,rapido,no,1,1,1,reservado,0
45,M,soltero,3,postgrado,Contador,<1500,500,transferencia,2025-03-30,53,"Vial Concha Cabello, La Coruña",2025-05-22,107482,Villa Los OlivosC27,C,María Gómez,1,3,Facebook,18,tardio,no,1,0,1,reservado,0
49,F,casado,3,universitario,Arquitecto,<1500,500,efectivo,2025-06-01,20,"Cuesta de Iris Portero, Melilla",2025-06-21,194409,Jardines del ValleE2,E,Pedro Sánchez,1,1,WhatsApp,16,rapido,no,0,1,1,reservado,1
34,F,soltero,1,secundaria,Doctor,>5000,200,yape,2025-05-13,16,"Paseo Quique Cañas, León",2025-05-29,146636,Jardines del ValleF18,F,Juan Rojas,1,2,WhatsApp,7,tardio,no,1,1,1,reservado,0
36,M,soltero,4,tecnico,Comerciante,1500-3000,400,tarjeta,2025-06-17,8,"Camino de Jose Luis Caballero, Alicante",2025-06-25,123936,Jardines del ValleH12,H,Luis Pérez,1,3,WhatsApp,38,rapido,no,1,0,1,transferido,0
29,M,casado,3,postgrado,Ingeniero,3000-5000,500,tarjeta,2025-05-13,13,"Acceso Serafina Galan, Álava",2025-05-26,155514,Jardines del ValleC26,C,Juan Rojas,0,3,Instagram,13,rapido,sí,1,0,0,transferido,0
49,M,soltero,1,universitario,Ingeniero,>5000,100,yape,2025-12-14,22,"Rambla Nicodemo Velasco, Cantabria",2026-01-05,84649,Villa Los OlivosA39,A,Ana Torres,2,1,Facebook,9,sin_respuesta,sí,1,0,0,transferido,0
25,M,casado,4,tecnico,Comerciante,3000-5000,500,efectivo,2025-08-10,15,"Urbanización Flora Lloret, Granada",2025-08-25,103037,Residencial SolC41,C,Ana Torres,0,4,Página Web,44,sin_respuesta,no,1,1,0,transferido,0
55,M,casado,0,tecnico,Doctor,1500-3000,300,transferencia,2025-08-02,14,"Pasadizo de Anselmo Tudela, Vizcaya",2025-08-16,192504,Villa Los OlivosH11,H,María Gómez,0,1,Evento,12,rapido,sí,0,1,1,transferido,0
57,F,conviviente,2,tecnico,Doctor,<1500,300,efectivo,2025-05-11,34,"Cuesta Matilde Nogués, Teruel",2025-06-14,109421,Jardines del ValleB35,B,Ana Torres,0,0,Instagram,36,tardio,no,0,0,0,reservado,0
49,M,soltero,4,universitario,Profesor,3000-5000,300,tarjeta,2025-11-27,25,"Urbanización de Evita Coll, Las Palmas",2025-12-22,76669,Jardines del ValleF42,F,Luis Pérez,1,2,Facebook,25,rapido,no,1,1,1,transferido,1
30,M,casado,1,universitario,Comerciante,<1500,100,transferencia,2025-04-29,28,"Callejón de Hipólito Carbó, Zaragoza",2025-05-27,189062,Jardines del ValleJ22,J,Juan Rojas,1,0,Instagram,20,tardio,sí,0,0,1,transferido,0
47,M,conviviente,4,secundaria,Abogado,<1500,300,transferencia,2025-06-16,58,"Alameda de Noemí Franco, Albacete",2025-08-13,119573,Villa Los OlivosG10,G,María Gómez,0,0,WhatsApp,45,rapido,sí,0,0,0,reservado,1
34,F,casado,4,universitario,Profesor,<1500,200,transferencia,2025-12-24,43,"Urbanización Caridad Escamilla, Navarra",2026-02-05,79665,Jardines del ValleC50,C,Ana Torres,1,1,Referido,25,rapido,no,1,0,0,transferido,0
33,M,casado,4,postgrado,Arquitecto,<1500,100,transferencia,2025-10-18,34,"Plaza Teófila Sanmartín, La Coruña",2025-11-21,179553,Villa Los OlivosE10,E,María Gómez,0,2,Página Web,43,tardio,no,1,1,1,transferido,0
40,F,soltero,3,postgrado,Profesor,3000-5000,300,tarjeta,2025-10-22,38,"Cuesta de Adelina Dueñas, Cáceres",2025-11-29,189924,Villa Los OlivosG39,G,Pedro Sánchez,1,3,Referido,27,rapido,sí,1,0,1,transferido,0
30,M,casado,3,tecnico,Abogado,1500-3000,400,tarjeta,2025-02-27,42,"Avenida Chita Alvarado, Ávila",2025-04-10,145000,Residencial SolB38,B,Ana Torres,1,1,Instagram,44,rapido,no,0,1,1,reservado,0
33,F,casado,0,universitario,Profesor,<1500,300,transferencia,2025-05-02,20,"Cuesta de Eloísa Paredes, Baleares",2025-05-22,113569,Jardines del ValleB4,B,Juan Rojas,1,2,Evento,25,rapido,sí,0,1,0,reservado,0
26,F,soltero,2,secundaria,Abogado,3000-5000,200,yape,2025-04-17,37,"Ronda Irma Juárez, Murcia",2025-05-24,69338,Jardines del ValleC8,C,Ana Torres,1,3,WhatsApp,40,rapido,sí,1,1,0,reservado,0
40,M,conviviente,4,universitario,Ingeniero,<1500,200,efectivo,2025-04-20,37,"Rambla Olalla Chico, Toledo",2025-05-27,97821,Jardines del ValleC24,C,Luis Pérez,1,4,Referido,8,rapido,sí,0,0,0,reservado,0
51,F,casado,3,tecnico,Profesor,1500-3000,300,yape,2025-05-26,14,"Vial Jesusa Ayala, Madrid",2025-06-09,125174,Villa Los OlivosI45,I,Ana Torres,1,1,WhatsApp,33,tardio,sí,0,0,1,transferido,1
25,F,divorciado,0,tecnico,Arquitecto,1500-3000,200,tarjeta,2025-12-01,52,"Glorieta Miguel Ángel Mayol, Ciudad",2026-01-22,195268,Jardines del ValleA39,A,Juan Rojas,1,0,WhatsApp,22,rapido,no,0,0,0,transferido,0
35,F,conviviente,0,universitario,Ingeniero,1500-3000,200,yape,2025-03-05,32,"Vial de Rebeca Jaén, Córdoba",2025-04-06,105538,Villa Los OlivosI20,I,Luis Pérez,1,1,Referido,31,rapido,sí,0,0,0,transferido,0
54,F,casado,3,tecnico,Abogado,1500-3000,500,efectivo,2025-03-13,17,"Avenida de Almudena Sánchez, Soria",2025-03-30,149737,Jardines del ValleG12,G,Juan Rojas,1,2,WhatsApp,21,rapido,sí,0,0,1,reservado,1
31,M,soltero,3,tecnico,Abogado,<1500,300,efectivo,2025-06-14,25,"Cañada de Paco Noriega, Valencia",2025-07-09,112791,Residencial SolG13,G,Ana Torres,2,2,Página Web,36,tardio,sí,1,0,1,transferido,0
44,M,conviviente,4,tecnico,Comerciante,<1500,200,efectivo,2025-11-09,24,"Callejón Moisés Bermejo, Almería",2025-12-03,113002,Villa Los OlivosB5,B,Ana Torres,1,0,WhatsApp,6,rapido,sí,0,0,0,transferido,0
27,M,casado,4,secundaria,Abogado,1500-3000,500,yape,2025-07-20,55,"Plaza de Ale Caparrós, León",2025-09-13,143493,Villa Los OlivosJ3,J,Ana Torres,1,0,Página Web,14,rapido,no,0,1,1,transferido,0
47,M,conviviente,0,secundaria,Contador,1500-3000,300,yape,2025-01-05,54,"Alameda de Ciriaco Casanovas, Cádiz",2025-02-28,156767,Residencial SolI13,I,María Gómez,0,2,Facebook,22,rapido,sí,0,1,1,reservado,0
55,M,soltero,0,universitario,Abogado,<1500,500,yape,2025-10-04,47,"Ronda Remigio Narváez, Badajoz",2025-11-20,70644,Villa Los OlivosC2,C,Juan Rojas,1,0,Instagram,13,rapido,sí,1,1,0,transferido,0
57,F,casado,1,secundaria,Profesor,3000-5000,200,tarjeta,2025-02-03,30,"Plaza de Rosalva Benavente, Cáceres",2025-03-05,126242,Villa Los OlivosD14,D,María Gómez,1,1,Instagram,8,tardio,no,0,1,0,transferido,0
34,F,conviviente,4,secundaria,Ingeniero,3000-5000,200,efectivo,2025-04-07,42,"Cañada Rita Valbuena, Huelva",2025-05-19,131144,Jardines del ValleG16,G,Luis Pérez,1,2,Facebook,4,tardio,sí,0,0,0,transferido,0
43,M,casado,0,universitario,Ingeniero,1500-3000,300,tarjeta,2025-02-09,12,"Acceso de Amanda Meléndez, Lugo",2025-02-21,142633,Residencial SolB30,B,María Gómez,1,2,Evento,1,tardio,sí,1,0,1,transferido,0
53,M,casado,3,postgrado,Ingeniero,<1500,400,transferencia,2025-02-20,25,"Alameda María José Arévalo, Lugo",2025-03-17,145282,Jardines del ValleH17,H,Ana Torres,0,2,Referido,43,rapido,no,0,1,0,reservado,1
48,F,conviviente,4,universitario,Abogado,>5000,200,yape,2025-12-26,35,"Ronda de Selena Cabrero, Málaga",2026-01-30,182629,Residencial SolJ44,J,Juan Rojas,2,3,WhatsApp,34,rapido,no,0,0,0,transferido,1
60,M,casado,1,universitario,Doctor,3000-5000,100,tarjeta,2025-06-20,17,"Pasadizo de Wilfredo Ortuño, Pontevedra",2025-07-07,148519,Villa Los OlivosA40,A,María Gómez,1,2,Facebook,12,tardio,no,1,0,0,reservado,0
47,F,casado,0,universitario,Profesor,1500-3000,400,efectivo,2025-02-20,12,"Calle de Cristian Catalán, Valencia",2025-03-04,78604,Jardines del ValleD25,D,Juan Rojas,2,3,Evento,31,tardio,sí,1,1,0,transferido,0
50,F,casado,0,universitario,Ingeniero,3000-5000,400,tarjeta,2025-07-03,20,"Alameda Alejo Francisco, Cuenca",2025-07-23,177479,Villa Los OlivosB26,B,Pedro Sánchez,1,2,Página Web,13,rapido,no,1,1,1,reservado,0
55,M,soltero,3,secundaria,Contador,1500-3000,100,tarjeta,2025-09-22,45,"Glorieta de Prudencia Sierra, Cádiz",2025-11-06,58211,Jardines del ValleE30,E,Pedro Sánchez,1,4,Página Web,42,sin_respuesta,no,1,0,1,transferido,1
28,M,soltero,4,tecnico,Arquitecto,3000-5000,400,tarjeta,2025-08-10,23,"Callejón de Clímaco Casado, Ourense",2025-09-02,120739,Jardines del ValleF28,F,Juan Rojas,2,2,WhatsApp,25,rapido,sí,1,1,0,transferido,0
30,F,soltero,0,tecnico,Arquitecto,<1500,300,yape,2025-11-24,20,"Cuesta Clemente Manzano, Asturias",2025-12-14,187567,Jardines del ValleC5,C,Juan Rojas,1,0,Referido,20,rapido,no,1,1,1,transferido,0
44,M,conviviente,3,universitario,Doctor,1500-3000,400,transferencia,2025-03-13,41,"Glorieta de Estrella Asensio, Murcia",2025-04-23,174649,Jardines del ValleA6,A,Juan Rojas,0,2,Referido,37,rapido,sí,0,1,0,transferido,0
25,M,soltero,3,universitario,Ingeniero,1500-3000,500,yape,2025-01-22,27,"Glorieta de Soledad Azorin, La Coruña",2025-02-18,87910,Villa Los OlivosG23,G,Pedro Sánchez,0,0,WhatsApp,37,tardio,no,1,0,0,reservado,0
45,M,casado,4,tecnico,Arquitecto,3000-5000,200,yape,2025-07-05,53,"Glorieta Pastora Leal, Almería",2025-08-27,186496,Jardines del ValleC30,C,María Gómez,3,1,Referido,36,tardio,sí,1,0,0,transferido,0
27,M,divorciado,2,universitario,Contador,<1500,400,efectivo,2025-04-05,45,"Cuesta de María Vaquero, Lugo",2025-05-20,93542,Residencial SolC41,C,Pedro Sánchez,2,0,Referido,2,tardio,no,0,1,0,transferido,0
48,F,casado,0,postgrado,Ingeniero,3000-5000,200,efectivo,2025-04-20,51,"Pasaje de Florentina Conde, Vizcaya",2025-06-10,82701,Jardines del ValleF14,F,Pedro Sánchez,0,3,Página Web,15,tardio,no,1,1,1,reservado,0
47,F,casado,1,universitario,Comerciante,>5000,400,transferencia,2025-12-19,36,"Callejón Norberto Cabezas, Castellón",2026-01-24,96088,Villa Los OlivosH27,H,Ana Torres,1,1,Página Web,29,tardio,no,0,0,1,transferido,0
59,F,soltero,3,postgrado,Profesor,1500-3000,500,tarjeta,2025-12-18,51,"Calle Luis Chaves, Guipúzcoa",2026-02-07,124251,Residencial SolC36,C,Juan Rojas,1,0,WhatsApp,22,tardio,sí,1,0,0,transferido,1
31,F,casado,2,tecnico,Contador,1500-3000,100,yape,2025-04-23,47,"Pasadizo de Cristian Lillo, La Rioja",2025-06-09,76136,Jardines del ValleB6,B,Pedro Sánchez,0,2,Evento,13,rapido,no,1,0,0,reservado,0
38,M,soltero,1,tecnico,Arquitecto,1500-3000,300,yape,2025-07-05,19,"C. de Lisandro Figueras, Toledo",2025-07-24,80015,Villa Los OlivosJ3,J,Juan Rojas,1,0,Evento,20,rapido,no,1,1,1,reservado,0
25,F,casado,1,secundaria,Arquitecto,<1500,400,yape,2025-08-16,49,"Cañada Ligia Peinado, Sevilla",2025-10-04,120152,Jardines del ValleF30,F,María Gómez,0,2,Evento,0,tardio,no,0,0,1,transferido,0
51,M,soltero,1,universitario,Ingeniero,>5000,200,efectivo,2025-02-02,59,"C. de Tere Samper, Almería",2025-04-02,186043,Residencial SolG44,G,María Gómez,0,0,Instagram,17,tardio,no,1,0,0,reservado,0
60,F,soltero,0,secundaria,Doctor,3000-5000,400,tarjeta,2025-05-15,58,"C. de Gregorio Carvajal, Cuenca",2025-07-12,63521,Residencial SolC37,C,Juan Rojas,3,1,WhatsApp,28,rapido,no,1,0,0,reservado,0
45,M,soltero,1,tecnico,Profesor,<1500,200,yape,2025-01-11,14,"Calle Juan Francisco Seguí, Huelva",2025-01-25,182187,Jardines del ValleG47,G,Luis Pérez,0,1,Facebook,2,tardio,no,1,1,0,transferido,0
38,M,casado,2,universitario,Ingeniero,3000-5000,200,transferencia,2025-10-08,8,"Ronda Crescencia Campillo, Ourense",2025-10-16,90120,Villa Los OlivosE36,E,Ana Torres,2,2,Referido,30,rapido,sí,0,1,0,transferido,0
65,F,conviviente,1,secundaria,Doctor,3000-5000,200,yape,2025-07-06,19,"Camino Julio César Rozas, Soria",2025-07-25,127836,Villa Los OlivosG2,G,Luis Pérez,1,2,WhatsApp,7,sin_respuesta,sí,0,0,1,transferido,0
42,M,soltero,2,postgrado,Doctor,>5000,300,efectivo,2025-03-09,14,"Pasaje Gloria Garmendia, Huelva",2025-03-23,77110,Villa Los OlivosG50,G,Pedro Sánchez,1,0,Facebook,20,rapido,no,1,0,1,transferido,0
41,M,soltero,1,tecnico,Ingeniero,<1500,200,transferencia,2025-10-02,32,"Ronda Gervasio Pedrero, Álava",2025-11-03,104518,Villa Los OlivosB7,B,María Gómez,3,3,Referido,40,rapido,sí,1,0,0,transferido,0
65,M,casado,1,secundaria,Doctor,1500-3000,100,yape,2025-01-06,47,"Callejón de Herberto Gras, Ceuta",2025-02-22,132204,Residencial SolA27,A,Juan Rojas,2,1,Referido,14,tardio,no,1,1,0,transferido,0
61,M,casado,2,universitario,Ingeniero,1500-3000,100,tarjeta,2025-01-05,7,"Alameda Joaquina Viñas, Palencia",2025-01-12,193257,Jardines del ValleC20,C,Juan Rojas,1,1,Página Web,8,tardio,sí,1,1,0,reservado,0
59,M,soltero,4,universitario,Comerciante,3000-5000,200,efectivo,2025-10-22,14,"Cuesta Guadalupe Moll, Tarragona",2025-11-05,145653,Villa Los OlivosE8,E,Luis Pérez,0,1,Instagram,36,rapido,sí,1,0,1,transferido,1
33,F,casado,3,postgrado,Abogado,>5000,200,efectivo,2025-10-31,52,"Vial de Lorenzo Frutos, Girona",2025-12-22,141371,Jardines del ValleF9,F,Ana Torres,0,0,Instagram,44,rapido,no,0,1,1,transferido,0
37,F,soltero,1,universitario,Doctor,1500-3000,500,yape,2025-06-09,13,"Plaza Nacio Arribas, Murcia",2025-06-22,152976,Residencial SolH28,H,María Gómez,3,1,WhatsApp,29,sin_respuesta,no,1,0,1,reservado,0
53,F,soltero,2,universitario,Comerciante,<1500,400,yape,2025-11-20,45,"Callejón de Claudio Abella, Toledo",2026-01-04,78195,Jardines del ValleD47,D,María Gómez,1,1,Página Web,42,rapido,no,1,0,1,transferido,0
65,M,soltero,0,universitario,Profesor,1500-3000,300,transferencia,2025-01-24,44,"Acceso Rosendo Galan, Segovia",2025-03-09,116339,Residencial SolD37,D,Pedro Sánchez,1,4,Facebook,38,tardio,no,1,0,0,reservado,0
50,M,conviviente,4,secundaria,Ingeniero,>5000,500,transferencia,2025-12-14,29,"Plaza Serafina Lamas, Córdoba",2026-01-12,98736,Residencial SolJ42,J,Juan Rojas,3,1,Página Web,7,rapido,sí,0,1,1,transferido,1
34,F,soltero,4,secundaria,Ingeniero,3000-5000,300,transferencia,2025-10-14,20,"Acceso de Elena Rosa, Álava",2025-11-03,136211,Jardines del ValleD43,D,Ana Torres,0,1,Página Web,30,rapido,no,1,1,1,transferido,0
49,F,soltero,2,secundaria,Comerciante,>5000,500,efectivo,2025-07-12,42,"Vial Tristán Bonet, Las Palmas",2025-08-23,76979,Villa Los OlivosF15,F,Luis Pérez,1,1,Evento,32,tardio,no,1,0,1,reservado,0
52,F,casado,2,postgrado,Arquitecto,<1500,100,yape,2025-03-06,58,"Urbanización Fidel Tejera, Tarragona",2025-05-03,63018,Villa Los OlivosJ43,J,Luis Pérez,1,3,Instagram,1,tardio,no,0,0,1,reservado,0
32,F,casado,1,universitario,Doctor,<1500,400,efectivo,2025-08-18,22,"Ronda de Felicia Ayuso, Sevilla",2025-09-09,150363,Residencial SolA18,A,Pedro Sánchez,1,1,Página Web,3,tardio,sí,1,0,0,transferido,0
54,F,casado,3,universitario,Doctor,>5000,500,efectivo,2025-02-10,40,"Plaza Félix Andrés, Murcia",2025-03-22,189845,Residencial SolA42,A,Ana Torres,2,1,Referido,33,tardio,sí,1,1,0,reservado,1
51,F,casado,1,universitario,Abogado,1500-3000,400,efectivo,2025-08-25,42,"Plaza Benjamín Simó, Teruel",2025-10-06,70910,Residencial SolA5,A,Juan Rojas,0,2,Página Web,38,tardio,no,1,0,0,transferido,0
54,F,soltero,1,universitario,Arquitecto,<1500,400,transferencia,2025-04-06,8,"Plaza de Nazaret Donoso, Lugo",2025-04-14,76933,Residencial SolJ4,J,María Gómez,1,0,Facebook,17,tardio,sí,1,0,0,reservado,0
52,M,casado,3,tecnico,Doctor,1500-3000,100,transferencia,2025-11-29,7,"Camino Arsenio Nicolás, Palencia",2025-12-06,190917,Jardines del ValleA9,A,María Gómez,1,2,Instagram,13,rapido,sí,1,0,1,transferido,1
29,F,casado,2,tecnico,Abogado,<1500,100,transferencia,2025-09-22,51,"Vial de Ofelia Caparrós, Baleares",2025-11-12,120755,Residencial SolA8,A,Juan Rojas,0,1,Evento,13,rapido,sí,1,1,1,transferido,0
45,M,soltero,2,universitario,Arquitecto,1500-3000,100,tarjeta,2025-04-23,40,"Via Seve Martí, Castellón",2025-06-02,82079,Jardines del ValleJ30,J,Juan Rojas,1,1,Referido,45,rapido,sí,1,0,1,reservado,0
45,F,soltero,3,secundaria,Doctor,1500-3000,400,transferencia,2025-05-30,29,"Cuesta Ana Alegre, Soria",2025-06-28,71704,Villa Los OlivosH43,H,María Gómez,1,2,Página Web,35,sin_respuesta,sí,0,0,1,reservado,0
56,M,conviviente,0,postgrado,Doctor,1500-3000,100,efectivo,2025-04-13,59,"Vial de Tecla Mínguez, Barcelona",2025-06-11,172722,Villa Los OlivosD45,D,Luis Pérez,0,1,WhatsApp,11,tardio,no,0,1,1,reservado,0
62,F,casado,0,secundaria,Arquitecto,3000-5000,300,tarjeta,2025-11-14,39,"Via de Montserrat Bas, Lugo",2025-12-23,90369,Jardines del ValleH7,H,Juan Rojas,0,0,WhatsApp,1,rapido,sí,0,1,1,transferido,0
64,M,soltero,4,tecnico,Arquitecto,3000-5000,400,yape,2025-06-26,34,"Alameda de Julio Aragón, Almería",2025-07-30,122833,Jardines del ValleD24,D,Ana Torres,0,0,Instagram,42,sin_respuesta,sí,1,1,1,reservado,1
54,M,soltero,4,secundaria,Contador,3000-5000,100,tarjeta,2025-02-20,18,"Via Roxana Mínguez, Valencia",2025-03-10,170808,Villa Los OlivosE37,E,Ana Torres,1,1,Instagram,14,tardio,no,1,0,0,reservado,1
47,F,soltero,2,postgrado,Ingeniero,<1500,500,yape,2025-02-28,20,"Vial Herberto Barberá, Pontevedra",2025-03-20,163108,Jardines del ValleH43,H,María Gómez,0,1,Facebook,40,sin_respuesta,sí,1,0,1,reservado,0
28,F,soltero,3,tecnico,Abogado,3000-5000,500,transferencia,2025-11-06,53,"Pasadizo de Camila Gallo, Teruel",2025-12-29,150275,Residencial SolI28,I,Ana Torres,0,3,Facebook,38,sin_respuesta,no,0,0,1,transferido,0
63,F,viudo,0,tecnico,Comerciante,<1500,400,tarjeta,2025-09-29,13,"Alameda de Porfirio Riera, Guadalajara",2025-10-12,163656,Jardines del ValleE13,E,Pedro Sánchez,1,1,Referido,21,tardio,sí,0,0,1,transferido,0
28,M,soltero,4,secundaria,Comerciante,3000-5000,200,efectivo,2025-01-24,13,"Calle de Candelas Rocha, Cuenca",2025-02-06,189495,Villa Los OlivosD8,D,Ana Torres,0,1,Instagram,49,rapido,no,1,0,0,transferido,0
50,M,conviviente,1,tecnico,Doctor,3000-5000,400,yape,2025-10-06,20,"Vial de Lázaro Pozo, Melilla",2025-10-26,179806,Jardines del ValleJ45,J,María Gómez,1,0,WhatsApp,17,rapido,sí,0,0,1,transferido,0
25,M,conviviente,2,tecnico,Doctor,<1500,300,transferencia,2025-05-02,54,"Avenida Victor Manuel Elorza, Soria",2025-06-25,174979,Jardines del ValleF41,F,Pedro Sánchez,1,0,WhatsApp,33,tardio,no,0,1,1,reservado,0
35,M,soltero,4,secundaria,Abogado,3000-5000,300,efectivo,2025-03-12,34,"Callejón de Eduardo Uría, Málaga",2025-04-15,174413,Villa Los OlivosD11,D,Ana Torres,0,0,Instagram,20,rapido,no,1,1,1,transferido,0
25,F,casado,4,postgrado,Profesor,1500-3000,100,tarjeta,2025-10-19,37,"C. Abril Vilanova, Córdoba",2025-11-25,114883,Jardines del ValleC17,C,Juan Rojas,0,0,Facebook,13,sin_respuesta,sí,1,0,0,transferido,0
58,M,soltero,0,postgrado,Arquitecto,>5000,300,tarjeta,2025-09-16,58,"Alameda Guiomar Valls, Córdoba",2025-11-13,129849,Jardines del ValleA37,A,Ana Torres,0,1,Facebook,10,rapido,no,1,1,0,transferido,0
56,F,casado,2,tecnico,Abogado,3000-5000,300,transferencia,2025-02-28,52,"Camino de Natanael Montero, Melilla",2025-04-21,128940,Residencial SolH48,H,María Gómez,0,2,Facebook,43,tardio,no,0,0,1,transferido,0
58,M,casado,2,secundaria,Doctor,1500-3000,100,transferencia,2025-01-07,38,"Vial de Haydée Abad, Santa Cruz de Tenerife",2025-02-14,143636,Villa Los OlivosJ31,J,Luis Pérez,1,1,Instagram,2,tardio,sí,0,0,0,transferido,0
38,M,soltero,0,tecnico,Doctor,<1500,400,transferencia,2025-08-11,47,"Cuesta Maricruz Jaume, León",2025-09-27,121807,Jardines del ValleJ48,J,Ana Torres,1,1,WhatsApp,32,rapido,no,1,0,1,transferido,0
50,F,soltero,3,postgrado,Abogado,1500-3000,300,transferencia,2025-10-10,51,"Ronda de Edgardo Gutiérrez, Huesca",2025-11-30,186335,Villa Los OlivosC17,C,Ana Torres,1,1,Instagram,12,sin_respuesta,no,1,0,1,transferido,1
43,M,casado,3,universitario,Ingeniero,1500-3000,400,transferencia,2025-02-24,50,"Pasadizo de Ciro Villa, Cuenca",2025-04-15,172242,Villa Los OlivosB28,B,Luis Pérez,1,2,WhatsApp,21,rapido,sí,1,0,0,reservado,0
44,F,conviviente,1,secundaria,Abogado,>5000,500,tarjeta,2025-03-23,9,"Camino Wálter Muro, Huelva",2025-04-01,168976,Villa Los OlivosE40,E,Ana Torres,0,2,Página Web,24,rapido,sí,0,1,0,reservado,0
44,M,soltero,3,tecnico,Profesor,1500-3000,100,yape,2025-11-06,23,"Calle de José María Girón, Cádiz",2025-11-29,63081,Residencial SolJ8,J,Ana Torres,1,2,WhatsApp,12,rapido,sí,1,0,0,transferido,0
30,F,soltero,0,tecnico,Doctor,3000-5000,500,tarjeta,2025-07-07,25,"Calle Susana Tirado, Melilla",2025-08-01,71159,Residencial SolE33,E,Juan Rojas,0,1,Instagram,40,tardio,sí,1,0,1,transferido,0
52,F,conviviente,4,universitario,Ingeniero,<1500,200,yape,2025-11-03,18,"Via de Feliciana Guardiola, La Coruña",2025-11-21,131457,Jardines del ValleH23,H,Pedro Sánchez,1,1,Página Web,10,rapido,no,0,0,1,transferido,1
41,M,casado,0,universitario,Profesor,1500-3000,200,tarjeta,2025-06-14,12,"Urbanización de Nando Avilés, Santa Cruz de Tenerife",2025-06-26,129952,Villa Los OlivosF38,F,María Gómez,1,1,Instagram,31,tardio,no,0,1,1,transferido,0
52,M,divorciado,4,universitario,Doctor,<1500,200,yape,2025-09-25,50,"Ronda Curro Sureda, Zaragoza",2025-11-14,182072,Villa Los OlivosH35,H,María Gómez,2,0,Referido,5,rapido,no,0,0,0,transferido,1
51,F,conviviente,3,universitario,Ingeniero,<1500,400,yape,2025-01-13,55,"Pasadizo de Berto Nogués, Ourense",2025-03-09,73181,Residencial SolF28,F,Juan Rojas,1,0,Facebook,40,rapido,sí,0,0,1,reservado,1
